0,ABT
1,ABBV
2,ABMD
3,ACN
4,ATVI
5,ADBE
6,AMD
7,AAP
8,AES
9,AMG
10,AFL
11,A
12,APD
13,AKAM
14,ALK
15,ALB
16,ARE
17,ALXN
18,ALGN
19,ALLE
20,AGN
21,ADS
22,LNT
23,ALL
24,GOOGL
25,GOOG
26,MO
27,AMZN
28,AMCR
29,AEE
30,AAL
31,AEP
32,AXP
33,AIG
34,AMT
35,AWK
36,AMP
37,ABC
38,AME
39,AMGN
40,APH
41,ADI
42,ANSS
43,ANTM
44,AON
45,AOS
46,APA
47,AIV
48,AAPL
49,AMAT
50,APTV
51,ADM
52,ARNC
53,ANET
54,AJG
55,AIZ
56,ATO
57,T
58,ADSK
59,ADP
60,AZO
61,AVB
62,AVY
63,BHGE
64,BLL
65,BAC
66,BK
67,BAX
68,BBT
69,BDX
70,BRK-B
71,BBY
72,BIIB
73,BLK
74,HRB
75,BA
76,BKNG
77,BWA
78,BXP
79,BSX
80,BMY
81,AVGO
82,BR
83,BF-B
84,CHRW
85,COG
86,CDNS
87,CPB
88,COF
89,CPRI
90,CAH
91,KMX
92,CCL
93,CAT
94,CBOE
95,CBRE
96,CBS
97,CDW
98,CE
99,CELG
100,CNC
101,CNP
102,CTL
103,CERN
104,CF
105,SCHW
106,CHTR
107,CVX
108,CMG
109,CB
110,CHD
111,CI
112,XEC
113,CINF
114,CTAS
115,CSCO
116,C
117,CFG
118,CTXS
119,CLX
120,CME
121,CMS
122,KO
123,CTSH
124,CL
125,CMCSA
126,CMA
127,CAG
128,CXO
129,COP
130,ED
131,STZ
132,COO
133,CPRT
134,GLW
135,CTVA
136,COST
137,COTY
138,CCI
139,CSX
140,CMI
141,CVS
142,DHI
143,DHR
144,DRI
145,DVA
146,DE
147,DAL
148,XRAY
149,DVN
150,FANG
151,DLR
152,DFS
153,DISCA
154,DISCK
155,DISH
156,DG
157,DLTR
158,D
159,DOV
160,DOW
161,DTE
162,DUK
163,DRE
164,DD
165,DXC
166,ETFC
167,EMN
168,ETN
169,EBAY
170,ECL
171,EIX
172,EW
173,EA
174,EMR
175,ETR
176,EOG
177,EFX
178,EQIX
179,EQR
180,ESS
181,EL
182,EVRG
183,ES
184,RE
185,EXC
186,EXPE
187,EXPD
188,EXR
189,XOM
190,FFIV
191,FB
192,FAST
193,FRT
194,FDX
195,FIS
196,FITB
197,FE
198,FRC
199,FISV
200,FLT
201,FLIR
202,FLS
203,FMC
204,F
205,FTNT
206,FTV
207,FBHS
208,FOXA
209,FOX
210,BEN
211,FCX
212,GPS
213,GRMN
214,IT
215,GD
216,GE
217,GIS
218,GM
219,GPC
220,GILD
221,GL
222,GPN
223,GS
224,GWW
225,HAL
226,HBI
227,HOG
228,HIG
229,HAS
230,HCA
231,HCP
232,HP
233,HSIC
234,HSY
235,HES
236,HPE
237,HLT
238,HFC
239,HOLX
240,HD
241,HON
242,HRL
243,HST
244,HPQ
245,HUM
246,HBAN
247,HII
248,IEX
249,IDXX
250,INFO
251,ITW
252,ILMN
253,IR
254,INTC
255,ICE
256,IBM
257,INCY
258,IP
259,IPG
260,IFF
261,INTU
262,ISRG
263,IVZ
264,IPGP
265,IQV
266,IRM
267,JKHY
268,JEC
269,JBHT
270,SJM
271,JNJ
272,JCI
273,JPM
274,JNPR
275,KSU
276,K
277,KEY
278,KEYS
279,KMB
280,KIM
281,KMI
282,KLAC
283,KSS
284,KHC
285,KR
286,LB
287,LHX
288,LH
289,LRCX
290,LW
291,LVS
292,LEG
293,LDOS
294,LEN
295,LLY
296,LNC
297,LIN
298,LKQ
299,LMT
300,L
301,LOW
302,LYB
303,MTB
304,MAC
305,M
306,MRO
307,MPC
308,MKTX
309,MAR
310,MMC
311,MLM
312,MAS
313,MA
314,MKC
315,MXIM
316,MCD
317,MCK
318,MDT
319,MRK
320,MET
321,MTD
322,MGM
323,MCHP
324,MU
325,MSFT
